Company Name,Street Address,City,State,Zip Code,Zip Plus,Contact First Name,Contact Last Name,Contact Title,Address,Phone,Business Description,Primary NAICS,NAICS2,NAICS3,NAICS4,NAICS5,Business Type,County,Employee,Annual Sales,URL,Year Established,Website,latitude,longitude,geo_method,url,url_status
Academic Associates,711 Westchester Dr # 202,High Point,NC,27262,2434,Susan,Meisky,President,"711 Westchester Dr High Point, NC 27262",(336) 886-4198,Tutoring,611691,NA,NA,NA,NA,Private,Guilford,2,NA,academicassociatestutoringcent.godaddysi,2000,https://ACADEMICASSOCIATESTUTORINGCENT.GODADDYSI,35.97615665,-80.03304011,census,https://academicassociatestutoringcent.godaddysites.com,Accessible
C.H.I.L.D. (Channeling Healthy Innovative Learning Development),5959 Fisher Rd,Fayetteville,NC,28304,5654,Daphne,Evans,Owner,"5959 Fisher Rd Fayetteville, NC 28304",(910) 822-4453,Tutoring,611691,NA,NA,NA,NA,Private,Cumberland,8,NA,childincorporated.com,2005,https://CHILDINCORPORATED.COM,35.00519832,-78.99736592,census,http://www.childincorporated.com,Accessible
Darden Enlightment Center,3816 South Main St,Farmville,NC,27828,8548,Darren,Darden,Owner,"3816 South Main St Farmville, NC 27828",(252) 753-2165,Tutoring,611691,624190,813319,813410,NA,Private,Pitt,1,NA,dardenenlightmentcenter.org,2008,https://DARDENENLIGHTMENTCENTER.ORG,35.59403806,-77.58855365,census,https://www.guidestar.org/profile/33-1188350,Accessible
Dynamik Learning,301 S Church St # 161,Rocky Mount,NC,27804,5748,NA,NA,NA,"301 S Church St Rocky Mount, NC 27804",(336) 601-5823,Tutoring,611691,NA,NA,NA,NA,Private,Nash,2,NA,dynamiklearning1.wixsite.com,2018,https://DYNAMIKLEARNING1.WIXSITE.COM,35.939796,35.939796,census,https://dynamiklearning1.wixsite.com/dynamik-learning,Accessible
Huntington Learning Center,4711 Hope Valley Rd # 5B,Durham,NC,27707,5651,NA,NA,NA,"4711 Hope Valley Rd  Durham, NC 27707",(919) 435-2435,Tutoring,611691,NA,NA,NA,NA,Private,Durham,4,NA,huntingtonhelps.com,2020,https://HUNTINGTONHELPS.COM,35.92223719,-78.95717246,census,https://huntingtonhelps.com,Accessible
Huntington Learning Center,144 West Holly Springs Rd # 4,Holly Springs,NC,27540,7043,NA,NA,NA,"144 West Holly Springs Rd Holly Springs, NC 27540",(919) 629-8448,Tutoring,611691,611110,611710,NA,NA,Private,Wake,4,NA,huntingtonhelps.com,2023,https://HUNTINGTONHELPS.COM,35.65496826,-78.83636784,census,https://huntingtonhelps.com,Accessible
Huntington Learning Center,8111 Creedmoor Rd # 117,Raleigh,NC,27613,4386,Shawn,Livingston,Exec Director,"8111 Creedmoor Rd  Raleigh, NC 27613",(919) 676-5477,Tutoring,611691,NA,NA,NA,NA,Private,Wake,25,NA,huntingtonhelps.com,1988,https://HUNTINGTONHELPS.COM,35.89607774,-78.68066462,census,https://huntingtonhelps.com,Accessible
Huntington Learning Center,1616 Battleground Ave # A,Greensboro,NC,27408,8035,Hannah,Bennett,Manager,"1616 Battleground Ave Greensboro, NC 27408",(336) 288-7979,Tutoring,611691,611710,611710,611710,NA,Private,Guilford,20,NA,huntingtonhelps.com,2005,https://HUNTINGTONHELPS.COM,36.08975567,-79.81008721,census,https://huntingtonhelps.com,Accessible
Huntington Learning Center,619 Red Banks Rd,Greenville,NC,27858,5814,Tonia,Sims,Director,"619 Red Banks Rd Greenville, NC 27858",(252) 321-9898,Tutoring,611691,NA,NA,NA,NA,Private,Pitt,25,NA,huntingtonhelps.com,2010,https://HUNTINGTONHELPS.COM,35.58144407,-77.37021358,census,https://huntingtonhelps.com,Accessible
Huntington Learning Center,3309 Rogers Rd,Wake Forest,NC,27587,3943,Mike,Gallagher,Owner,"3309 Rogers Rd Wake Forest, NC 27587",(919) 832-5020,Tutoring,611691,611710,NA,NA,NA,Private,Wake,13,NA,huntingtonhelps.com,2012,https://HUNTINGTONHELPS.COM,35.95019153,-78.51505919,census,https://huntingtonhelps.com,Accessible
Huntington Learning Center,9601 Holly Point Dr # 101,Huntersville,NC,28078,4914,Julie,Ramage,Exec Director,"9601 Holly Point Dr Huntersville, NC 28078",(704) 896-9699,Tutoring,611691,611710,611710,NA,NA,Private,Mecklenburg,15,NA,huntingtonhelps.com,2001,https://HUNTINGTONHELPS.COM,35.44153206,-80.86351838,census,https://huntingtonhelps.com,Accessible
Huntington Learning Center,2545 Ravenhill Dr # 103,Fayetteville,NC,28303,5460,Roy,Robinson,Owner,"2545 Ravenhill Dr Fayetteville, NC 28303",(910) 323-1855,Tutoring,611691,611710,NA,NA,NA,Private,Cumberland,10,NA,huntingtonhelps.com,2007,https://HUNTINGTONHELPS.COM,35.04753485,-78.92590765,census,https://huntingtonhelps.com,Accessible
Huntington Learning Center,5945 Weddington Rd # 104,Weddington,NC,28104,6285,Rob,Schellenberg,Owner,"5945 Weddington Rd  Weddington, NC 28104",(704) 243-5784,Tutoring,611691,621999,611710,NA,NA,Private,Union,31,NA,huntingtonhelps.com,2016,https://HUNTINGTONHELPS.COM,35.00118682,-80.69941189,census,https://huntingtonhelps.com,Accessible
Huntington Learning Center,311 Williamson Rd # 201,Mooresville,NC,28117,5970,NA,NA,NA,"311 Williamson Rd  Mooresville, NC 28117",(980) 444-0485,Tutoring,611691,NA,NA,NA,NA,Private,Iredell,3,NA,huntingtonhelps.com,2019,https://HUNTINGTONHELPS.COM,35.58448277,-80.87373611,census,https://huntingtonhelps.com,Accessible
Huntington Learning Center,8111 Creedmoor Rd # 117,Raleigh,NC,27613,4386,Shawn,Livingston,Exec Director,"8111 Creedmoor Rd  Raleigh, NC 27613",(919) 676-5477,Tutoring,611691,NA,NA,NA,NA,Private,Wake,25,NA,huntingtonhelps.com,1988,https://HUNTINGTONHELPS.COM,35.89607774,-78.68066462,census,https://huntingtonhelps.com,Accessible
Huntington Learning Center,5919 Oleander Dr # 105,Wilmington,NC,28403,4757,Lynette,Askew,Owner,"5919 Oleander Dr  Wilmington, NC 28403",(910) 313-2639,Tutoring,611691,611710,611710,NA,NA,Private,New Hanover,20,NA,huntingtonhelps.com,2007,https://HUNTINGTONHELPS.COM,34.20957572,-77.84217971,census,https://huntingtonhelps.com,Accessible
Huntington Learning Center,1135 Kildaire Farm Rd # 110,Cary,NC,27511,4587,Mike,Gallagher,Owner,"1135 Kildaire Farm Rd  Cary, NC 27511",(919) 462-3533,Tutoring,611691,NA,NA,NA,NA,Private,Wake,20,NA,huntingtonhelps.com,1996,https://HUNTINGTONHELPS.COM,35.76748686,-78.78234834,census,https://huntingtonhelps.com,Accessible
Kaplan,308 W Rosemary St # 103,Chapel Hill,NC,27516,2549,NA,NA,NA,"308 W Rosemary St  Chapel Hill, NC 27516",(800) 000-1111,Tutoring,611691,NA,NA,NA,NA,Private,Orange,4,NA,kaptest.com,1937,https://KAPTEST.COM,35.91299062,-79.05930179,census,https://www.kaptest.com,Accessible
Kinetic Minds,2822 Cashwell Dr Pmb 101,Goldsboro,NC,27534,4302,Iyanla,Cherry,Other,"2822 Cashwell Dr Pmb 101 Goldsboro, NC 27534",(919) 947-0471,Tutoring,611691,813319,999990,NA,NA,Private,Wayne,3,NA,kineticmindsnc.org,2013,https://KINETICMINDSNC.ORG,35.37654199,-77.94783049,census,http://www.kineticmindsnc.org/contact-us.html,Accessible
Kumon Math-Reading Center,9010 Glenwater Dr # 106,Charlotte,NC,28262,8593,Renu,Pal,Owner,"9010 Glenwater Dr  Charlotte, NC 28262",(704) 972-8800,Tutoring,611691,611691,611710,624190,624410,Private,Mecklenburg,6,NA,kumon.com,2015,https://KUMON.COM,35.31684613,-80.75032892,census,https://kumon.com,Accessible
Kumon Math-Reading Center,1600 E Woodlawn Rd # 261,Charlotte,NC,28209,2286,NA,NA,NA,"1600 E Woodlawn Rd  Charlotte, NC 28209",(704) 327-8839,Tutoring,611691,611691,611710,624190,624410,Private,Mecklenburg,3,NA,kumon.com,2015,https://KUMON.COM,35.17215302,-80.84949011,census,https://kumon.com,Accessible
Kumon Math-Reading Center,10110 Johnston Rd # 8,Charlotte,NC,28210,9201,Peyton,Ding,Manager,"10110 Johnston Rd Charlotte, NC 28210",(704) 877-2005,Tutoring,611691,611691,611710,624190,624410,Private,Mecklenburg,10,NA,kumon.com,2007,https://KUMON.COM,35.09377162,-80.85814635,census,https://kumon.com,Accessible
Kumon Math-Reading Center,2002 New Garden Rd # 206,Greensboro,NC,27410,2562,Toiya,Hancock,Owner,"2002 New Garden Rd  Greensboro, NC 27410",(336) 543-3232,Tutoring,611691,611691,611710,624190,624410,Private,Guilford,6,NA,kumon.com,2008,https://KUMON.COM,36.1275547,-79.85941366,census,https://kumon.com,Accessible
Kumon Math-Reading Center,11116 S Tryon St # C,Charlotte,NC,28273,4571,NA,NA,NA,"11116 S Tryon St  Charlotte, NC 28273",(704) 588-8988,Tutoring,611691,611691,611710,624190,624410,Private,Mecklenburg,12,NA,kumon.com,2006,https://KUMON.COM,35.11610076,-80.96045125,census,https://kumon.com,Accessible
Kumon Math-Reading Center,4200 Main St # 105,Harrisburg,NC,28075,7485,Mason,Miller,Owner,"4200 Main St  Harrisburg, NC 28075",(704) 312-5889,Tutoring,611691,611691,611710,624190,624410,Private,Cabarrus,3,NA,kumon.com,2016,https://KUMON.COM,35.32579004,-80.64561454,census,https://kumon.com,Accessible
Kumon Math-Reading Center,7114 Brighton Park Dr # 320,Mint Hill,NC,28227,7816,Ayana,Dixon,Owner,"7114 Brighton Park Dr  Mint Hill, NC 28227",(980) 505-8880,Tutoring,611691,611691,611710,624190,624410,Private,Mecklenburg,3,NA,kumon.com,2016,https://KUMON.COM,35.17153024,-80.66252658,census,https://kumon.com,Accessible
Kumon Math-Reading Center,890 S Kerr Ave # 1,Wilmington,NC,28403,8453,Li-Shing,Wang,Owner,"890 S Kerr Ave  Wilmington, NC 28403",(910) 796-0307,Tutoring,611691,611691,611710,624190,624410,Private,New Hanover,6,NA,kumon.com,2008,https://KUMON.COM,34.2196334,-77.88667339,census,https://kumon.com,Accessible
Kumon Math-Reading Center,16933 Kaufinger St # 140,Huntersville,NC,28078,8805,Krithika,Venkatesan,Owner,"16933 Kaufinger St  Huntersville, NC 28078",(704) 281-6562,Tutoring,611691,611691,611710,624190,624410,Private,Mecklenburg,7,NA,kumon.com,2013,https://KUMON.COM,35.44297679,-80.85726467,census,https://kumon.com,Accessible
Kumon Math-Reading Center,13010 Eastfield Rd # C-500,Huntersville,NC,28078,6644,Maame,Stephens,Owner,"13010 Eastfield Rd  Huntersville, NC 28078",(704) 992-9856,Tutoring,611691,611691,611710,624190,624410,Private,Mecklenburg,7,NA,kumon.com,2013,https://KUMON.COM,35.38453708,-80.78650465,census,https://kumon.com,Accessible
Kumon Math-Reading Center,8810 Blakeney Professional Dr,Charlotte,NC,28277,6595,Alka,Garg,Owner,"8810 Blakeney Professional Dr Charlotte, NC 28277",(704) 752-7757,Tutoring,611691,611691,611710,624190,624410,Private,Mecklenburg,8,NA,kumon.com,2005,https://KUMON.COM,35.03130962,-80.80727409,census,https://kumon.com,Accessible
Kumon Math-Reading Center,1228 Guilford College Rd # 102,Jamestown,NC,27282,9831,Jayanthi,Somasundaram,Owner,"1228 Guilford College Rd Jamestown, NC 27282",(336) 624-5085,Tutoring,611691,611691,611710,624190,624410,Private,Guilford,3,NA,kumon.com,2006,https://KUMON.COM,36.04196014,-79.91910142,census,https://kumon.com,Accessible
Kumon Math-Reading Center,101 Morrisville Square Way # 1,Morrisville,NC,27560,5703,Li,Wang,Owner,"101 Morrisville Square Way Morrisville, NC 27560",(919) 467-9788,Tutoring,611691,611691,611710,624190,624410,Private,Wake,2,NA,kumon.com,2003,https://KUMON.COM,35.82046,-78.82963365,census,https://kumon.com,Accessible
Kumon Math-Reading Center,3016 Weddington Rd # 400,Matthews,NC,28105,7653,Sanjay,Patel,Director,"3016 Weddington Rd  Matthews, NC 28105",(704) 846-8798,Tutoring,611691,611691,611710,624190,624410,Private,Mecklenburg,6,NA,kumon.com,2005,https://KUMON.COM,35.0843612,-80.73144142,census,https://kumon.com,Accessible
Kumon Math-Reading Center,5664 International Dr # E,Charlotte,NC,28270,6911,Mai,Nguyen,Owner,"5664 International Dr Charlotte, NC 28270",(704) 503-8989,Tutoring,611691,611691,611710,624190,624410,Private,Mecklenburg,3,NA,kumon.com,1997,https://KUMON.COM,35.13533844,-80.77997249,osm,https://kumon.com,Accessible
Kumon Math-Reading Center,11301 Golf Links Dr N # 105,Charlotte,NC,28277,8014,Anurag,Singhal,Owner,"11301 Golf Links Dr N Charlotte, NC 28277",(704) 317-8100,Tutoring,611691,611691,611710,624190,624410,Private,Mecklenburg,3,NA,kumon.com,2020,https://KUMON.COM,35.0566977,-80.77078384,census,https://kumon.com,Accessible
Kumon Math-Reading Center,2997 Hope Mills Rd # B,Hope Mills,NC,28348,NA,Allison,Suh,Owner,"2997 Hope Mills Rd  Hope Mills, NC 28348",(910) 912-6284,Tutoring,611691,NA,NA,NA,NA,Private,Cumberland,4,NA,kumon.com,2021,https://KUMON.COM,34.98596182,-78.96487683,census,https://kumon.com,Accessible
Kumon Math-Reading Center,101 Two Hills Dr # 160,Carrboro,NC,27510,2681,Siddisee,Hirpa,Owner,"101 Two Hills Dr  Carrboro, NC 27510",(919) 913-0909,Tutoring,611691,611691,611710,624190,624410,Private,Orange,4,NA,kumon.com,2020,https://KUMON.COM,35.91512411,-79.06965222,census,https://kumon.com,Accessible
Kumon Math-Reading Center-Apex,1234 W Williams St # 1,Apex,NC,27502,3953,Anuradha,Kemburu,Owner,"1234 W Williams St Apex, NC 27502",(919) 363-4131,Tutoring,611691,611691,611710,624190,624410,Private,Wake,1,NA,kumon.com,2002,https://KUMON.COM,35.74605455,-78.87308266,census,https://kumon.com,Accessible
Kumon Math-Reading Center-Belmont,6436 W Wilkinson Blvd,Belmont,NC,28012,2858,Alex,Kellogg,Owner,"6436 W Wilkinson Blvd Belmont, NC 28012",(704) 413-1999,Tutoring,611691,611691,611710,624190,624410,Private,Gaston,4,NA,kumon.com,2017,https://KUMON.COM,35.25197181,-81.04632703,census,https://kumon.com,Accessible
Kumon Math-Reading Center-Cary,270 Cornerstone Dr # 103,Cary,NC,27519,8400,Piya,Ray,Owner,"270 Cornerstone Dr Cary, NC 27519",(919) 377-9600,Tutoring,611691,611691,611710,624190,624410,Private,Wake,4,NA,kumon.com,2009,https://KUMON.COM,35.78808927,-78.84786152,census,https://kumon.com,Accessible
Kumon Math-Reading Center-Cary,2970 Kildaire Farm Rd,Cary,NC,27518,8965,Yoonmi,Suh,Owner,"2970 Kildaire Farm Rd Cary, NC 27518",(919) 674-0900,Tutoring,611691,611691,611710,624190,624410,Private,Wake,4,NA,kumon.com,2016,https://KUMON.COM,35.71737932,-78.78776632,census,https://kumon.com,Accessible
Kumon Math-Reading Center-Cary,1207 Kildaire Farm Rd # E,Cary,NC,27511,7704,Sima,Timbalia,Owner,"1207 Kildaire Farm Rd Cary, NC 27511",(919) 674-0200,Tutoring,611691,611691,611710,624190,624410,Private,Wake,6,NA,kumon.com,2015,https://KUMON.COM,35.76438337,-78.78342796,census,https://kumon.com,Accessible
Kumon Math-Reading Center-Chapel,250 S Elliott Rd # 130,Chapel Hill,NC,27514,6059,Jiming,Wang,Owner,"250 S Elliott Rd  Chapel Hill, NC 27514",(919) 852-2633,Tutoring,611691,611691,611710,624190,624410,Private,Orange,3,NA,kumon.com,2013,https://KUMON.COM,35.93611114,-79.0329277,census,https://kumon.com,Accessible
Kumon Math-Reading Center-Concord,3775 Concord Pkwy S # 124,Concord,NC,28027,9031,Lakshmi,Kumar,Owner,"3775 Concord Pkwy S  Concord, NC 28027",(704) 784-5866,Tutoring,611691,611691,611710,624190,624410,Private,Cabarrus,1,NA,kumon.com,1958,https://KUMON.COM,35.36890197,-80.66613659,census,https://kumon.com,Accessible
Kumon Math-Reading Center-Durham,4235 University Dr # 103,Durham,NC,27707,2547,Anishkumar,Patel,Owner,"4235 University Dr  Durham, NC 27707",(919) 402-0507,Tutoring,611691,611691,611710,624190,624410,Private,Durham,2,NA,kumon.com,2005,https://KUMON.COM,35.96267045,-78.96035126,census,https://kumon.com,Accessible
Kumon Math-Reading Center-Durham,4900 Nc Highway 55 # 180,Durham,NC,27713,7808,Linjen,Huang,Owner,"4900 Nc Highway 55 Durham, NC 27713",(919) 293-0542,Tutoring,611691,611691,611710,624190,624410,Private,Durham,2,NA,kumon.com,2005,https://KUMON.COM,35.89891694,-78.89666078,census,https://kumon.com,Accessible
Kumon Math-Reading Center-Fyttvll,140 Westwood Shopping Center,Fayetteville,NC,28314,1521,NA,NA,NA,"140 Westwood Shopping Center Fayetteville, NC 28314",(910) 302-5516,Tutoring,611691,611691,611710,624190,624410,Private,Cumberland,6,NA,kumon.com,2016,https://KUMON.COM,35.06751486,-78.95285628,census,https://kumon.com,Accessible
Kumon Math-Reading Center-Holly,1001 Hayes Ln # 101,Holly Springs,NC,27540,7697,Shiying,Li,Owner,"1001 Hayes Ln  Holly Springs, NC 27540",(919) 762-3400,Tutoring,611691,611691,611710,624190,624410,Private,Wake,7,NA,kumon.com,2016,https://KUMON.COM,35.63808278,-78.82991674,census,https://kumon.com,Accessible
Kumon Math-Reading Center-Lwsvll,1309 Lewisville Clemmons Rd,Lewisville,NC,27023,9635,Jayanthi,Somasundaram,Owner,"1309 Lewisville Clemmons Rd Lewisville, NC 27023",(336) 766-2333,Tutoring,611691,611691,611710,624190,624410,Private,Forsyth,5,NA,kumon.com,2009,https://KUMON.COM,36.07884383,-80.39003351,census,https://kumon.com,Accessible
Kumon Math-Reading Center-Mrsvll,132 N Cardigan Way # C,Mooresville,NC,28117,8551,NA,NA,NA,"132 N Cardigan Way  Mooresville, NC 28117",(704) 660-5866,Tutoring,611691,611691,611710,624190,624410,Private,Iredell,14,NA,kumon.com,1958,https://KUMON.COM,35.55460264,-80.86227629,census,https://kumon.com,Accessible
Kumon Math-Reading Center-Raleigh,6401 Tri Plantation Dr # D109,Raleigh,NC,27616,5182,Jenny,Zhao,Owner,"6401 Tri Plantation Dr  Raleigh, NC 27616",(919) 616-4899,Tutoring,611691,611691,611710,624190,624410,Private,Wake,1,NA,kumon.com,2001,https://KUMON.COM,35.8741838,-78.5828907,osm,https://kumon.com,Accessible
Kumon Math-Reading Center-Raleigh,9101 Leesville Rd # 109,Raleigh,NC,27613,7546,Lan,Ye,Owner,"9101 Leesville Rd  Raleigh, NC 27613",(919) 848-6889,Tutoring,611691,611691,611710,624190,624410,Private,Wake,5,NA,kumon.com,2009,https://KUMON.COM,35.89661754,-78.72316856,census,https://kumon.com,Accessible
Kumon Math-Reading Center-Wake,3634 Rogers Rd,Wake Forest,NC,27587,9306,NA,NA,NA,"3634 Rogers Rd Wake Forest, NC 27587",(919) 761-7783,Tutoring,611691,611691,611710,624190,624410,Private,Wake,4,NA,kumon.com,2017,https://KUMON.COM,35.94440973,-78.50194692,census,https://kumon.com,Accessible
Kumon Math-Reading Center-Wesley,5922 Weddington Rd # A7,Wesley Chapel,NC,28104,8203,Ami,Gandhi,Owner,"5922 Weddington Rd  Wesley Chapel, NC 28104",(704) 843-5555,Tutoring,611691,611691,611710,624190,624410,Private,Union,3,NA,kumon.com,2009,https://KUMON.COM,35.00097097,-80.7016486,census,https://kumon.com,Accessible
Lindamood Bell Learning PRCSS,6135 Park South Dr,Charlotte,NC,28210,3272,Leanne,Foss,Director,"6135 Park South Dr Charlotte, NC 28210",(704) 362-4556,Tutoring,611691,NA,NA,NA,NA,Private,Mecklenburg,10,NA,lindamoodbell.com,2006,https://LINDAMOODBELL.COM,35.14783559,-80.84344006,census,https://lindamoodbell.com,Accessible
Aops Academy,6406 Mccrimmon Pkwy # 100,Morrisville,NC,27560,8144,NA,NA,NA,"6406 Mccrimmon Pkwy  Morrisville, NC 27560",(919) 234-1503,Tutoring,611691,611691,NA,NA,NA,Private,Wake,6,NA,morrisville.aopsacademy.org,2014,https://MORRISVILLE.AOPSACADEMY.ORG,35.83364651,-78.85929829,census,https://aopsacademy.org/?campus=morrisville,Accessible
Kumon Math-Reading Center,5664 International Dr # E,Charlotte,NC,28270,6911,Mai,Nguyen,Owner,"5664 International Charlotte, NC 28270",(704) 503-8989,Tutoring,611691,611691,611710,624190,624410,Private,Mecklenburg,3,NA,kumon.com,1997,https://KUMON.COM,35.135037,-80.778691,osm,https://kumon.com,Accessible
Kumon Math-Reading Center-Raleigh,6401 Tri Plantation Dr # D109,Raleigh,NC,27616,5182,Jenny,Zhao,Owner,"6401 Tri Plantation Dr Raleigh, NC 27616",(919) 616-4899,Tutoring,611691,611691,611710,624190,624410,Private,Wake,1,NA,kumon.com,2001,https://KUMON.COM,35.874102,-78.582871,osm,https://kumon.com,Accessible
Above-Beyond Academic Students,4836 Park Rd,Charlotte,NC,28209,3273,Don,Wiliams,Exec Director,"4836 Park Rd Charlotte, NC 28209",(704) 665-4242,Tutoring,611691,611710,813319,813410,999990,Private,Mecklenburg,10,NA,aboveandbeyondstudents.com,2001,https://ABOVEANDBEYONDSTUDENTS.COM,35.16471579,-80.85027187,census,https://www.aboveandbeyondstudents.com,Accessible
Academic Advantage,1515 W Cornwallis Dr # 103,Greensboro,NC,27408,6334,Kay,Alexander,Owner,"1515 W Cornwallis Dr Greensboro, NC 27408",(336) 272-1023,Tutoring,611691,NA,NA,NA,NA,Private,Guilford,1,NA,academicadvantage.com,1996,https://ACADEMICADVANTAGE.COM,36.09779141,-79.81457197,census,https://www.academicadvantage.com,Accessible
Academics Plus,706 N Berkeley Blvd,Goldsboro,NC,27534,3410,Kenneth E,Benton,President,"706 N Berkeley Blvd Goldsboro, NC 27534",(919) 735-7587,Tutoring,611691,611710,NA,NA,NA,Private,Wayne,5,NA,academicsplusinc.com,2010,https://ACADEMICSPLUSINC.COM,35.37623435,-77.94105117,census,https://www.academicsplusinc.com,Accessible
Advantage Testing of Charlotte,5960 Fairview Rd # 313,Charlotte,NC,28210,3102,NA,NA,NA,"5960 Fairview Rd Charlotte, NC 28210",(980) 785-1597,Tutoring,611691,813211,611710,NA,NA,Private,Mecklenburg,6,NA,advantagetesting.com,2018,https://ADVANTAGETESTING.COM,35.15124087,-80.84062246,census,https://www.advantagetesting.com,Accessible
